ANIO;MES;DIA;HORA;PESPANIA;PPORTUGAL;
2007;07;11;22;5.225;3.058;
2007;07;11;23;5.225;3.5;
2007;07;11;24;5.225;3;
2007;07;12;1;4;4;
2007;07;12;2;4.3;3.171;
2007;07;12;3;3.936;2.884;
2007;07;12;4;3.936;2.8;
2007;07;12;5;3.936;2.75;
2007;07;12;6;3.936;2.8;
2007;07;12;7;3.936;2.9;
2007;07;12;8;3.936;3.107;
2007;07;12;9;3.936;3.746;
2007;07;12;10;5.225;4.37;
2007;07;12;11;5.571;4.57;
2007;07;12;12;5.89;4.77;
2007;07;12;13;6.4;4.656;
2007;07;12;14;5.61;4.77;
2007;07;12;15;5.525;4.44;
2007;07;12;16;6;4.401;
2007;07;12;17;5.998;4.656;
2007;07;12;18;5.89;4.57;
2007;07;12;19;5.525;4.74;
2007;07;12;20;5.225;4.47;
2007;07;12;21;5.225;4;
2007;07;12;22;5.225;3.9;
2007;07;12;23;5.225;4.05;
2007;07;12;24;5.225;3.495;
2007;07;13;1;5.225;3.4;
2007;07;13;2;4.569;3.403;
2007;07;13;3;4.35;2.906;
2007;07;13;4;4.3;2.884;
2007;07;13;5;4.8;2.8;
2007;07;13;6;4.5;2.824;
2007;07;13;7;4.504;3;
2007;07;13;8;4.8;3.4;
2007;07;13;9;4.15;4;
2007;07;13;10;5.225;4.37;
2007;07;13;11;6.68;4.74;
2007;07;13;12;7.12;5.109;
2007;07;13;13;7.15;5.275;
2007;07;13;14;7.15;5.054;
2007;07;13;15;6.428;4.507;
2007;07;13;16;6.68;4.25;
2007;07;13;17;6.68;4.37;
2007;07;13;18;6.428;4.3;
2007;07;13;19;5.998;4.57;
2007;07;13;20;5.525;4.5;
2007;07;13;21;5.225;4.05;
2007;07;13;22;4.925;3.9;
2007;07;13;23;4.925;4;
2007;07;13;24;5.225;3.6;
2007;07;14;1;4.611;3.94;
2007;07;14;2;4.85;3.94;
2007;07;14;3;4.75;3.19;
2007;07;14;4;4.344;3;
2007;07;14;5;4.394;2.903;
2007;07;14;6;4.229;2.8;
2007;07;14;7;4.229;2.7;
2007;07;14;8;3.99;2.697;
2007;07;14;9;4.229;3.19;
2007;07;14;10;4.75;3.79;
2007;07;14;11;4.75;4.365;
2007;07;14;12;5.079;4.59;
2007;07;14;13;5.079;4.47;
2007;07;14;14;5.079;4.4;
2007;07;14;15;4.95;3.41;
2007;07;14;16;4.75;3.058;
2007;07;14;17;4.75;2.85;
2007;07;14;18;4.75;2.847;
2007;07;14;19;4.75;2.85;
2007;07;14;20;4.75;2.925;
2007;07;14;21;4.75;3;
2007;07;14;22;4.8;3.5;
2007;07;14;23;4.75;4.25;
2007;07;14;24;4.83;3.91;
2007;07;15;1;4.75;3.3;
2007;07;15;2;4.45;3.403;
2007;07;15;3;4.45;3.17;
2007;07;15;4;3.904;2.8;
2007;07;15;5;3.904;2.7;
2007;07;15;6;3.904;2.7;
2007;07;15;7;3.904;2.65;
2007;07;15;8;3.904;2.275;
2007;07;15;9;3.904;2.311;
2007;07;15;10;3.904;2.65;
2007;07;15;11;4.121;2.613;
2007;07;15;12;4.455;2.8;
2007;07;15;13;4.7;2.85;
2007;07;15;14;4.75;2.903;
2007;07;15;15;4.422;3;
2007;07;15;16;3.904;2.8;
2007;07;15;17;3.904;3;
2007;07;15;18;3.904;2.885;
2007;07;15;19;3.904;3;
2007;07;15;20;3.904;3.7;
2007;07;15;21;3.904;3.769;
2007;07;15;22;4.048;4.048;
2007;07;15;23;5.615;5.615;
2007;07;15;24;5.499;5.499;
2007;07;16;1;4.75;4.275;
2007;07;16;2;4.498;3.94;
2007;07;16;3;4.422;3.05;
2007;07;16;4;4.121;2.895;
2007;07;16;5;3.904;2.8;
2007;07;16;6;3.904;2.797;
2007;07;16;7;4.121;3.314;
2007;07;16;8;4.121;3.94;
2007;07;16;9;4.417;4.4;
2007;07;16;10;5.25;4.64;
2007;07;16;11;5.913;5.139;
2007;07;16;12;6.153;5.538;
2007;07;16;13;6.405;5.8;
2007;07;16;14;5.913;5.8;
2007;07;16;15;5.711;5.002;
2007;07;16;16;6.4;4.9;
2007;07;16;17;6.073;4.901;
2007;07;16;18;5.913;4.854;
2007;07;16;19;5.655;4.673;
2007;07;16;20;5.335;3.988;
2007;07;16;21;5.25;3.91;
2007;07;16;22;5.079;4;
2007;07;16;23;5.296;4.1;
2007;07;16;24;5.296;3.51;
2007;07;17;1;4.75;3.91;
2007;07;17;2;4.3;3.104;
2007;07;17;3;4.417;2.9;
2007;07;17;4;4.7;2.884;
2007;07;17;5;4.498;2.826;
2007;07;17;6;4.121;2.824;
2007;07;17;7;4.121;2.998;
2007;07;17;8;4.121;3.588;
2007;07;17;9;4.183;4.183;
2007;07;17;10;4.695;4.695;
2007;07;17;11;5.3;5.3;
2007;07;17;12;5.501;5.501;
2007;07;17;13;5.961;5.961;
2007;07;17;14;6.405;5.961;
2007;07;17;15;5.711;5.468;
2007;07;17;16;5.711;5.139;
2007;07;17;17;5.723;5.13;
2007;07;17;18;5.4;5.4;
2007;07;17;19;5.25;5.109;
2007;07;17;20;4.95;4.54;
2007;07;17;21;5.079;4.007;
2007;07;17;22;4.75;4;
2007;07;17;23;4.422;4;
2007;07;17;24;5.079;3.769;
2007;07;18;1;3.99;3.281;
2007;07;18;2;4.1;3.095;
2007;07;18;3;4.1;2.879;
2007;07;18;4;4.1;2.8;
2007;07;18;5;4.1;2.718;
2007;07;18;6;3.99;2.771;
2007;07;18;7;3.95;3.013;
2007;07;18;8;3.99;3.5;
2007;07;18;9;4.4;4.4;
2007;07;18;10;4.75;4.75;
2007;07;18;11;5.8;5.8;
2007;07;18;12;6.15;6.15;
2007;07;18;13;6.395;6.395;
2007;07;18;14;6.346;6.346;
2007;07;18;15;6;6;
2007;07;18;16;6;6;
2007;07;18;17;5.913;5.913;
2007;07;18;18;5.711;5.711;
2007;07;18;19;5.538;5.538;
2007;07;18;20;4.5;4.5;
2007;07;18;21;4.4;4.4;
2007;07;18;22;4.182;4.182;
2007;07;18;23;4.295;4.295;
2007;07;18;24;4.422;3.598;
2007;07;19;1;4.156;4.156;
2007;07;19;2;4.1;3.29;
2007;07;19;3;4;2.963;
2007;07;19;4;3.95;2.884;
2007;07;19;5;3.95;2.85;
2007;07;19;6;3.875;2.884;
2007;07;19;7;3.854;3.162;
2007;07;19;8;3.904;3.904;
2007;07;19;9;4.3;4.3;
2007;07;19;10;5.107;5.107;
2007;07;19;11;5.723;5.723;
2007;07;19;12;5.84;5.84;
2007;07;19;13;6;6;
2007;07;19;14;6.15;6.15;
2007;07;19;15;5.366;5.366;
2007;07;19;16;5.322;5.322;
2007;07;19;17;5.221;5.221;
2007;07;19;18;5.07;5.07;
2007;07;19;19;4.911;4.911;
2007;07;19;20;4.4;4.4;
2007;07;19;21;4.1;3.703;
2007;07;19;22;4.301;3.61;
2007;07;19;23;4.301;3.721;
2007;07;19;24;4.75;3.25;
2007;07;20;1;4.235;3.5;
2007;07;20;2;4.345;2.9;
2007;07;20;3;4.415;2.76;
2007;07;20;4;4.6;2.68;
2007;07;20;5;4.498;2.66;
2007;07;20;6;3.904;2.664;
2007;07;20;7;4.447;2.878;
2007;07;20;8;4.585;3.19;
2007;07;20;9;3.9;3.9;
2007;07;20;10;3.995;3.995;
2007;07;20;11;4.825;4.825;
2007;07;20;12;5.07;5.07;
2007;07;20;13;5.322;5.322;
2007;07;20;14;5.4;5.4;
2007;07;20;15;4.911;4.911;
2007;07;20;16;4.8;4.8;
2007;07;20;17;4.911;4.74;
2007;07;20;18;4.757;4.757;
2007;07;20;19;4.75;4.47;
2007;07;20;20;4.415;4.257;
2007;07;20;21;4.312;3.95;
2007;07;20;22;4.422;3.9;
2007;07;20;23;4.317;3.94;
2007;07;20;24;4.7;3.995;
2007;07;21;1;4.4;4.4;
2007;07;21;2;4.2;3.95;
2007;07;21;3;3.556;3.314;
2007;07;21;4;3.556;3.083;
2007;07;21;5;3.555;2.998;
2007;07;21;6;3.555;2.9;
2007;07;21;7;3.555;2.884;
2007;07;21;8;2.884;2.884;
2007;07;21;9;3.555;3.05;
2007;07;21;10;4.048;4.048;
2007;07;21;11;4.807;4.807;
2007;07;21;12;5.265;5.265;
2007;07;21;13;5.07;5.07;
2007;07;21;14;4.911;4.911;
2007;07;21;15;4.72;4.72;
2007;07;21;16;4.455;4.455;
2007;07;21;17;4.048;4.048;
2007;07;21;18;3.804;3.804;
2007;07;21;19;3.556;3.257;
2007;07;21;20;3.556;3.089;
2007;07;21;21;3.556;3.013;
2007;07;21;22;3.556;3.065;
2007;07;21;23;3.804;3.804;
2007;07;21;24;3.94;3.94;
2007;07;22;1;4.647;4.4;
2007;07;22;2;4.254;2.997;
2007;07;22;3;4.054;3.5;
2007;07;22;4;4.254;3.56;
2007;07;22;5;4.254;3.44;
2007;07;22;6;4.054;3.314;
2007;07;22;7;4.054;3.089;
2007;07;22;8;3.804;2.9;
2007;07;22;9;3.556;3.089;
2007;07;22;10;4.054;3.314;
2007;07;22;11;4.647;3.78;
2007;07;22;12;4.75;3.995;
2007;07;22;13;4.744;3.718;
2007;07;22;14;4.95;3.88;
2007;07;22;15;4.75;3.995;
2007;07;22;16;4.422;3.2;
2007;07;22;17;4.647;3;
2007;07;22;18;4.585;2.88;
2007;07;22;19;4.647;2.88;
2007;07;22;20;4.455;2.824;
2007;07;22;21;4.455;2.698;
2007;07;22;22;4.585;3.065;
2007;07;22;23;4.5;4.5;
2007;07;22;24;4.422;3.95;
2007;07;23;1;4.048;4.048;
2007;07;23;2;3.591;3.11;
2007;07;23;3;3.554;2.82;
2007;07;23;4;3.164;2.735;
2007;07;23;5;3.061;2.68;
2007;07;23;6;2.66;2.66;
2007;07;23;7;3.083;3.083;
2007;07;23;8;3.554;3.15;
2007;07;23;9;4;4;
2007;07;23;10;5.07;4.315;
2007;07;23;11;6.073;4.3;
2007;07;23;12;5.913;4.45;
2007;07;23;13;6.15;5;
2007;07;23;14;6.153;5.002;
2007;07;23;15;4.75;4.495;
2007;07;23;16;5.25;4.4;
2007;07;23;17;5.296;4.35;
2007;07;23;18;5.25;4.52;
2007;07;23;19;4.75;4.42;
2007;07;23;20;4.585;3.95;
2007;07;23;21;4.422;3.95;
2007;07;23;22;4.455;4;
2007;07;23;23;4.602;4.602;
2007;07;23;24;4.702;4;
2007;07;24;1;4.2;2.998;
2007;07;24;2;4.25;2.844;
2007;07;24;3;4.054;2.638;
2007;07;24;4;3.554;2.45;
2007;07;24;5;3.554;2.343;
2007;07;24;6;2.805;2.45;
2007;07;24;7;3.554;2.78;
2007;07;24;8;3.554;2.948;
2007;07;24;9;3.554;3.44;
2007;07;24;10;3.807;3.807;
2007;07;24;11;4.5;4.5;
2007;07;24;12;4.801;4.801;
2007;07;24;13;4.961;4.961;
2007;07;24;14;5.106;5.106;
2007;07;24;15;4.612;4.612;
2007;07;24;16;4.498;4.498;
2007;07;24;17;4.743;4.743;
2007;07;24;18;4.75;4.75;
2007;07;24;19;4.451;4.451;
2007;07;24;20;4.212;4.15;
2007;07;24;21;4.254;3.85;
2007;07;24;22;4.054;3.8;
2007;07;24;23;3.896;3.896;
2007;07;24;24;4.354;3.013;
2007;07;25;1;4.254;3.05;
2007;07;25;2;4.054;2.873;
2007;07;25;3;3.554;2.725;
